naprzod	GMMClassificator	[-5.3156090612410924, -0.11245155066734906, 2.9069237037839235, 7.3504006902049746, -16.10157278541093]	[4.035561602200826, 1.2820840544701608, 1.3693604674024797, 3.7764197211926778, 8.211017325357801]	[0.05482225540020586, 0.7768741407907036, 0.12040644955854367, 0.025565409976499986, 0.020647063723628352]
odbierz	GMMClassificator	[-8.01821919735789, 4.309576320975666, -16.580414354050717, 0.11355081194678882, -2.8319282139610373]	[3.283458108689896, 3.8228543938632886, 5.04889352245019, 1.265674604994461, 1.4088527264034632]	[0.02376890951473415, 0.09193155827583038, 0.02059074768637349, 0.7917113045909061, 0.06979145987576524]
odrzuc	GMMClassificator	[2.4019779516672726, -0.1944116524365533, -6.984688635751176, 5.946868914378356, 10.2702279489169]	[1.189019206172198, 1.2971156456235005, 10.037301733704727, 1.5022845764510777, 4.7296457056271555]	[0.13681291194550368, 0.7612788456087994, 0.05026547829486511, 0.031010640893518574, 0.006084332648024462]
odslon	GMMClassificator	[-16.644982021487642, 3.081557993785574, 8.070977313553541, -0.10429929192695461, -5.722383936067518]	[5.637952032676236, 1.4522334800810621, 4.575336153599107, 1.337829998694612, 4.514649183747206]	[0.017400088851169886, 0.11300042286120372, 0.023213730382891228, 0.7880283416775897, 0.05615798617414871]
otworz	GMMClassificator	[-5.900196958203333, -15.940381101799295, -0.10149843498714001, 7.721335787771905, 3.036456856689434]	[4.841131964723363, 7.186124866972353, 1.343756616001483, 4.814441116932909, 1.4295168633047477]	[0.05285230564829252, 0.01662703023440035, 0.7631920507131531, 0.038642513568372706, 0.125396863795727]
start	GMMClassificator	[-0.12082656469223231, 2.7467337021733003, -5.439773641666167, 6.7907203578497635, -16.446664208195738]	[1.2501436200734726, 1.2729863280369724, 4.051805742299479, 3.676984808902578, 9.275205117144]	[0.772852356607409, 0.12288036996509015, 0.05284016902742859, 0.02830590578103203, 0.017515630998863607]
stop	GMMClassificator	[-6.260116663370154, 3.19476703542729, -0.08087794080010562, 8.857478431230197, -16.63766656862069]	[4.6170953128178205, 1.4866305556013233, 1.2876114190970394, 6.331175979212615, 5.048780504518054]	[0.03602198903153535, 0.12157309712239023, 0.8012384666473432, 0.02122171167406377, 0.017602491877193222]
wlacz	GMMClassificator	[-17.21975002840071, -0.08229271281005895, -6.475992538934713, 7.832061821374142, 3.027508931811951]	[2.2263683245467774, 1.3166108028638976, 5.196718990469957, 3.592845149845649, 1.3844195363872307]	[0.01580623972153412, 0.7765982589931314, 0.036008918906703574, 0.03382464760863728, 0.13611221035543042]
wstecz	GMMClassificator	[-17.15494577379324, 2.6834123858090204, 8.082137993059133, -0.157115899797701, -6.622413987301639]	[5.263677808005278, 1.3838816712670803, 4.632391960787241, 1.2975994299296563, 5.109388760072813]	[0.018249164747175882, 0.10976016188401547, 0.018521974066438674, 0.8219356324609207, 0.028358642294038523]
wylacz	GMMClassificator	[-0.13836174731643594, 7.593884563953567, 3.0968390773797925, -5.4229272062663405, -15.783238850942803]	[1.3517948653262948, 4.614293352516284, 1.4556391032166125, 3.943425198681021, 10.035202110741533]	[0.7350068977599771, 0.03435960214982787, 0.13509539212463673, 0.07181937824655084, 0.019115128112186398]
zamknij	GMMClassificator	[-0.15106064476706893, -16.87051509191437, 2.81718208582828, 7.006208678104349, -5.750455629155933]	[1.3295623966873185, 6.470262283626853, 1.3219766097888779, 3.482781121920386, 4.807959587184092]	[0.7463591828935665, 0.01699368164195762, 0.13068078778335718, 0.034445869294104106, 0.0683561953282295]
zaslon	GMMClassificator	[-16.370130047889937, 7.3558452455792755, -5.696658508905086, -0.0823086087649438, 3.0321100084119545]	[8.308540744180288, 4.343912157918528, 4.386407146089706, 1.3168266112991085, 1.367968366434605]	[0.019095206451010815, 0.029464909057332723, 0.05807063837370436, 0.7660967132847267, 0.12373254143592284]
zaswiec	GMMClassificator	[-16.13542907104778, -5.208821948974537, 3.1002501748869755, -0.12015936329386268, 7.725187513537832]	[8.899416529664386, 4.1976697997410035, 1.38988556154891, 1.309794286628396, 4.061383808378006]	[0.01717421197626536, 0.06440075899241614, 0.12206015492416102, 0.7626235800872073, 0.02765435396861679]
zgas	GMMClassificator	[3.0181888074906067, -5.20831325037254, -16.4956758973657, 7.895400868427613, -0.11366423690853612]	[1.479587180454358, 3.7966405470241718, 8.591669180610127, 5.010357518061807, 1.3576578590229784]	[0.12212527944763821, 0.06467279350851612, 0.017885168699723748, 0.028497819280234024, 0.7619307495463576]
