naprzod	GMMClassificator	[-0.6576416419178713, -15.113202055432696, 1.9794593688283706, -5.133506275462058, 7.907832402753564]	[1.3159491841444881, 14.57657502653699, 1.3910289720621434, 3.161719656260128, 2.087294235741826]	[0.5969394924443253, 0.04332313899356763, 0.21160198418001802, 0.1287376591035794, 0.014816844416695715]
odbierz	GMMClassificator	[7.559729195738721, -16.288427817658626, -0.6928026912998824, -5.559230631897987, 1.9463713855965783]	[3.5602564572931206, 12.665519256666881, 1.3329715135451958, 3.474894730629569, 1.4031776313588846]	[0.021623550532093385, 0.03752992286977711, 0.6207332117863914, 0.1264194859156163, 0.18812436965408152]
odrzuc	GMMClassificator	[-16.522476799589377, 2.0645107743328572, 7.820474862533131, -0.6103953105701098, -5.426879697150778]	[14.60571867167408, 1.4205120081536127, 2.6369269143632272, 1.3492042842148158, 3.263152634375001]	[0.03683661305005759, 0.18243910770035954, 0.014539623130892724, 0.6381146506069512, 0.12360013013544653]
odslon	GMMClassificator	[7.592912320653152, -17.602750377021188, -5.423900649441766, 1.8697730773730352, -0.7614583845870231]	[3.719696437704026, 22.618774028804435, 3.650622294003717, 1.4386639857301269, 1.3957988013218798]	[0.0192194343132169, 0.038413817074935526, 0.12783268973477566, 0.2262369671217008, 0.5881931511748395]
otworz	GMMClassificator	[-5.808608235111516, -15.263805019189329, 7.745224529632931, 1.7716345898827932, -0.663819722511276]	[3.5856128951965056, 14.892444459775097, 3.194784230032509, 1.3948756404403027, 1.3795274244842013]	[0.11130431804906929, 0.040993045524330134, 0.01666003805367386, 0.2234773552852505, 0.6022048309542134]
start	GMMClassificator	[-0.05853173853233522, -7.9757764120802275, 3.3645436811750242, -16.839861996579913, -3.4447135467002634]	[1.3009650800391215, 3.1852204157051265, 4.000097127183862, 9.175452321520057, 1.574285150052608]	[0.7084565721178887, 0.046301506190601964, 0.0821056765969287, 0.0336011002624868, 0.12262491819768835]
stop	GMMClassificator	[-11.006551793090823, -4.241929204346812, -0.09920908079566251, -18.985617455815724, 3.2777453663331206]	[4.719937285550724, 2.2212532429390404, 1.3984604799634726, 5.776937483401354, 3.7306152929296568]	[0.03740439082452048, 0.11361641566310844, 0.6901013139569286, 0.026190461110292922, 0.12756025110698568]
wlacz	GMMClassificator	[-0.6638023737459936, -5.310569608964129, 2.1318987307189157, 7.8092701880704345, -15.795110116858798]	[1.3357187039813017, 3.186057138917425, 1.4294580935500272, 2.8118504367536445, 16.32105538584619]	[0.6194222410361767, 0.12007982855933072, 0.19103718784980916, 0.021392837674517842, 0.04373505883421591]
wstecz	GMMClassificator	[-15.023123126679517, 8.312538604155687, -0.4677845123130583, -5.234056253357146, 2.0068499961883632]	[14.890195661538817, 0.6468514868765243, 1.2683651521298587, 3.2177952796049145, 1.3367431350260441]	[0.04901970272850121, 0.0088194234710351, 0.6486241453407459, 0.09772647217459336, 0.19074559885584108]
wylacz	GMMClassificator	[7.667725984248128, -5.427586242951068, -0.7725972843413911, -16.42500150808645, 1.9019077846939336]	[3.224128033645263, 3.3122114693907583, 1.3636679860074485, 16.514831920875306, 1.4250236226208264]	[0.02279587362154103, 0.12853719768316937, 0.6035544074515036, 0.037876888119113626, 0.20331009567162078]
zamknij	GMMClassificator	[4.461297496277624, -3.288735876567426, -19.170098275631997, -0.11079560077837283, -8.231964929444805]	[5.014237794931697, 1.5283999421168106, 17.91357740786779, 1.4416188098957097, 3.884509693131427]	[0.08436229196202708, 0.1829363936661636, 0.0312813157344854, 0.6473737858746316, 0.05387096747449027]
zaslon	GMMClassificator	[-17.282646843359426, 2.1132725475624725, -5.058218396106043, 7.591867737099918, -0.6256653010205823]	[19.25691749123296, 1.4030371530041346, 3.3939574834839044, 3.061216749867175, 1.3486419893265886]	[0.03783712188624528, 0.17811950632908508, 0.13697335492372553, 0.017884056778793494, 0.629087344813682]
zaswiec	GMMClassificator	[-0.4725377517860267, -5.440116473133592, 2.353254381837273, 7.723034289600655, -17.832119407722708]	[1.306766806605385, 3.920679415169295, 1.3537470930143451, 1.751008847191485, 21.46026659046329]	[0.7074013519661201, 0.11832090256524447, 0.12245799945181277, 0.01172650777192056, 0.0400403102036074]
zgas	GMMClassificator	[-0.5313030779528373, 2.021405226780642, -18.07634941177968, -5.4990167814721085, 8.425429120599569]	[1.3566225817446669, 1.4131408201401567, 20.4764753942144, 4.069026962985687, 1.4952131721059574]	[0.6679299357008606, 0.15958407909310315, 0.038219650008380575, 0.12509908821839844, 0.009153590130564672]
