naprzod	GMMClassificator	[0.3523213763088393, -13.767800744689934, -3.283730918912593, 4.6925093988014]	[1.837308320992414, 19.118594790100346, 2.798983361482912, 4.662389638643939]	[0.5728494157868571, 0.0716666120238965, 0.27630878207089865, 0.07403374499274216]
odbierz	GMMClassificator	[-0.718033308765153, -5.624150945032191, 3.2688508350416585, -15.928872866552165]	[1.7463083355834366, 3.429050516336323, 4.337273652979219, 13.277666436837652]	[0.6140977243662804, 0.13951462592123823, 0.18558425032921547, 0.05395584818839315]
odrzuc	GMMClassificator	[-5.313079332812244, -15.525226065728175, -0.6602747571763665, 3.4103104430618334]	[3.080827883323556, 13.89231857945168, 1.7997394116692196, 4.631607246855672]	[0.1404882214932363, 0.05829882097372151, 0.6145079569688209, 0.18134061639671922]
odslon	GMMClassificator	[-15.31959920133001, -5.288249426174141, -0.8018035944317944, 2.946296868836615]	[13.312892054345907, 3.17821140772664, 1.6906144323841021, 4.067718190371089]	[0.05407791137304786, 0.1431515324590872, 0.5741736269636633, 0.2225605430335312]
otworz	GMMClassificator	[-5.686966025221518, -15.188112935315635, 2.447979933879007, -0.8373658795992064]	[3.2156590341334823, 14.238087770767775, 3.3825616995899073, 1.6443473856708268]	[0.12961241945236007, 0.061886684585636946, 0.2642450486237626, 0.5373056081138039]
start	GMMClassificator	[-14.676316199524388, -5.114088871796206, 2.518586688472914, -0.531255929920315]	[12.400344791095996, 3.232810342144162, 3.2820032201380696, 1.5429915339846945]	[0.06937048011118463, 0.12536749264299363, 0.20320905538423148, 0.5943857555090986]
stop	GMMClassificator	[-15.237908988559202, -0.5484518386794225, -5.271162194063734, 2.7922331519768795]	[13.250151921429755, 1.6051522121953232, 3.2431667797959554, 3.5800984911319818]	[0.07148844476612119, 0.5675256026520998, 0.11528943397645655, 0.23951643364993438]
wlacz	GMMClassificator	[-15.59346734116826, -0.9029691608260668, -5.596729268302191, 2.964462705336188]	[14.359035260740571, 1.6679678044234283, 3.283495892198594, 4.316490469073793]	[0.05514026019607382, 0.5847121034644641, 0.12064892403637788, 0.2330643284728139]
wstecz	GMMClassificator	[-4.978040476608972, -0.5219612503154147, 2.639593299545318, -15.12036045981447]	[3.3564012458215755, 1.5869592706837552, 3.1947576516510736, 13.246990255176916]	[0.12102158142077288, 0.5708041518204939, 0.22844066814537808, 0.07434989555826718]
wylacz	GMMClassificator	[-4.45169037718026, 4.462187247645453, -0.23152282315596712, -14.888988646426272]	[3.149921865919559, 5.56606748408831, 1.9793356007838987, 17.840352394264283]	[0.19077805808599319, 0.10877936613831533, 0.6375878849156446, 0.05775956274985726]
zamknij	GMMClassificator	[-13.365730562122568, -3.912922790045141, -0.09909794297697395, 5.824340627170821]	[19.16639347054756, 2.5943078500193946, 1.9988580713414983, 6.6419130910486714]	[0.06803735054880758, 0.225940335192896, 0.6192829126536719, 0.08233834972054935]
zaslon	GMMClassificator	[-0.5011876310492863, 3.4713449260067546, -15.30913750948624, -4.598542182874482]	[1.7911798076343328, 4.743668430142125, 20.09940835099719, 2.869467791290032]	[0.5797684654198857, 0.1710771217018985, 0.05949129748279822, 0.1880655140177586]
zaswiec	GMMClassificator	[-5.5066867590884945, -16.45907821225706, -0.3617409514537872, 4.4833669827865075]	[3.8651057050725464, 18.59694224327209, 2.056293868979814, 5.256967621687627]	[0.14005628925332284, 0.06622342167707454, 0.6981786859876556, 0.09450261849276964]
zgas	GMMClassificator	[0.11166593477977912, -4.092454146150493, 5.102860309280589, -15.534225149470844]	[1.9660620608056958, 3.1542614860781777, 5.1398364520306385, 22.41816476232677]	[0.64461126908594, 0.2120544300067011, 0.06725760413057169, 0.07585736933744933]
