naprzod	GMMClassificator	[-8.55722988657405, -0.7413970978585704, 2.6213772919156937]	[18.42162871713513, 1.9584051191595735, 3.6842649172951156]	[0.11940582414553647, 0.6858531677903482, 0.18354486885673096]
odbierz	GMMClassificator	[3.851692819425449, -7.054110205342692, -0.44187032298659634]	[5.083665205820658, 11.80783979711235, 1.8617169763876862]	[0.09886756393291189, 0.13597382923397125, 0.7434313035077089]
odrzuc	GMMClassificator	[-6.435967173646024, 3.2167409671699, -0.44291471745162303]	[8.609179495565737, 3.9132253540286532, 1.674005784377978]	[0.13166981868821537, 0.12061779352635238, 0.7216947759591018]
odslon	GMMClassificator	[2.808036179873081, -8.295235097939985, -0.7266783933049772]	[3.848536793440286, 18.30666811693499, 2.0061005694656946]	[0.1711374935633227, 0.1180904247396947, 0.6987547326779526]
otworz	GMMClassificator	[-5.4940564275707935, 0.08820861039615067, -14.935269511674674]	[3.7302880600938595, 2.746367456043866, 14.320762186907803]	[0.12102804148505818, 0.8212569875904066, 0.04209877622911045]
start	GMMClassificator	[2.8198808258603414, -0.4312480001505414, -8.614276437943142]	[3.6572169112623634, 1.7928718865514865, 19.158594027955207]	[0.11782136211374937, 0.7550782230472044, 0.11260211937025828]
stop	GMMClassificator	[-10.696333533627293, 2.733449248710505, -0.5440874217986064]	[26.731918859425452, 3.5017563512281122, 2.0869695702869078]	[0.1019381409132641, 0.17991839892311814, 0.7104347224291686]
wlacz	GMMClassificator	[3.4990673757427975, -0.5714407491370544, -8.155108611259408]	[4.713641297305802, 1.9660643571910437, 17.030060408356228]	[0.1329503373715908, 0.7296618838938606, 0.12217194547573361]
wstecz	GMMClassificator	[-5.001063152952971, -14.911867408946884, 0.13071026825971016]	[3.3012423149629244, 15.193082634361103, 2.356734734674394]	[0.10480363313359049, 0.0499791239377845, 0.8325195957409983]
wylacz	GMMClassificator	[3.736095046045226, -0.5055800224017583, -6.7126232112294915]	[5.116422890696752, 1.8928923509782405, 10.01851194750114]	[0.11166044529860658, 0.7296567242396076, 0.1360828588662021]
zamknij	GMMClassificator	[3.9608239542288786, -6.667466792472379, -0.5490758141374]	[5.005234112836684, 9.871833882335862, 1.9386774967500344]	[0.10599120814651876, 0.1332786124799949, 0.7383773029238905]
zaslon	GMMClassificator	[-4.700629760085408, 0.114022084624067, -17.111644676340063]	[3.538548867983601, 2.9069153295428536, 20.00376460022449]	[0.15708560764767918, 0.7948185085838211, 0.03875694653186725]
zaswiec	GMMClassificator	[-17.862512243361362, -0.03140714883670333, -5.474279496824787]	[21.33712350839355, 2.5469871838001645, 3.983265889747329]	[0.03987400323843226, 0.8362319758062142, 0.11650451638978486]
zgas	GMMClassificator	[-17.99670615063076, -5.342549705688532, -0.006017972368595897]	[20.824692850954108, 4.155735765639948, 2.4027811848256704]	[0.03864197708761518, 0.13136671649919743, 0.8222244779318357]
