naprzod	GMMClassificator	[3.255678080318857, -2.7639854264622805, -6.844493578910764, -15.506266916179595, 0.059511455380635084]	[1.8999418620091155, 1.320051757960438, 2.7442749216031883, 12.515563016830194, 1.124649502599381]	[0.1352409031486481, 0.14348112906101382, 0.05696230190609823, 0.02380183115308375, 0.6338785741559237]
odbierz	GMMClassificator	[-7.972212630319352, -17.60225257310906, 3.2708920742954066, -3.3367029528993086, -0.0787936142295469]	[3.3774400944585157, 9.548150854885481, 2.26623094186897, 1.4820118618503848, 1.213896329360172]	[0.047157696226108256, 0.01883488670068381, 0.13157841313774246, 0.12485701992064868, 0.6698720291241237]
odrzuc	GMMClassificator	[-17.13812161047322, -7.502251686536589, 3.2543149104298346, -3.1663248325159463, -0.04479714058923742]	[11.069465914304507, 3.0748359143368575, 1.86411558014845, 1.387332071893436, 1.1699620026992945]	[0.01880796982919177, 0.04930511095256727, 0.12905912395899957, 0.12327765945839643, 0.6730102498359143]
odslon	GMMClassificator	[10.243932726417878, -4.611793894822167, 3.046860666765276, -0.18929606647804112, -13.651937632548325]	[5.269795475496102, 2.836997012789917, 1.61999187232248, 1.34856242206311, 16.348064483937065]	[0.007897909034533315, 0.12942919921162044, 0.1547834184985025, 0.6759271082203322, 0.029283656086239465]
otworz	GMMClassificator	[-14.097317892259733, 2.8761098902934594, -4.798417359099683, 10.095595104657912, -0.16383928823747873]	[15.135648522713685, 1.54013178251994, 3.0995716378088027, 5.430242829759553, 1.3208810051365922]	[0.03231828255490598, 0.14665854592615063, 0.10672826020119441, 0.007486626334280611, 0.7034655978872296]
start	GMMClassificator	[-3.3512250300503, -0.034093049860885835, -8.374389867246073, -16.556086047676697, 2.9526333285760753]	[1.451667574976184, 1.1319398193575303, 3.0987456800775215, 9.137776667047518, 1.4990149031078908]	[0.10330162140696617, 0.710156996186336, 0.037937676517165106, 0.01921677682060891, 0.12188508305228686]
stop	GMMClassificator	[-3.600379960857022, 0.004544470954222518, -8.81302238793829, 3.201993056158112, -17.223643823098744]	[1.6074775273236368, 1.182153789634005, 3.6664191987603525, 1.9384483171426352, 9.736264133259928]	[0.09385929230468598, 0.7089541418157561, 0.033807239835310594, 0.13591378295550224, 0.020308180630181378]
wlacz	GMMClassificator	[-16.70285037342644, -0.045619642793181404, -7.406856477869193, 3.3947792619652457, -3.129770967534244]	[12.61534474924966, 1.1822412666953093, 2.9580614836539043, 2.286914219905369, 1.3565003625078633]	[0.021684354381437922, 0.6463290875500473, 0.047161954158583985, 0.14262313392863596, 0.1347291740810631]
wstecz	GMMClassificator	[3.0126640378634026, -7.968084593209901, -16.246930785522682, -3.3089326795476106, -0.02051477525173162]	[1.6145694161349875, 3.2139863479969804, 11.48376107293185, 1.4110156578150237, 1.1274103389325671]	[0.12425124610521403, 0.03472809791839654, 0.02311496343853388, 0.09580051973760813, 0.7154794789007141]
wylacz	GMMClassificator	[-3.3394883120091445, -18.665700242370395, -0.08061061390349529, -7.7683805758268, 3.3726733732892247]	[1.45016563235302, 20.635283343980458, 1.232317676871899, 3.190061353615662, 2.368926011531705]	[0.13434131460835988, 0.01919985425467087, 0.6509622101213387, 0.0493040436766944, 0.14107548262434388]
zamknij	GMMClassificator	[2.977678334334863, 9.34853979686668, -13.631294822094965, -4.567548564757295, -0.23979266748686398]	[1.5446447198905482, 5.955376099723979, 19.145785597125908, 2.7172779243102543, 1.3397208017674431]	[0.1447414848162388, 0.013085514492997137, 0.03250573773088141, 0.13276003907288453, 0.6748410885799673]
zaslon	GMMClassificator	[-3.1223279715464987, -7.2839243870060635, 0.019346835494519436, 3.3666083796422406, -17.849895357223858]	[1.3706910478303476, 3.0531630269558043, 1.1930151966847369, 2.1855836699092523, 15.578165598367681]	[0.1388243194161443, 0.05300294830146707, 0.6543071893386397, 0.13182916608423656, 0.017865648292713848]
zaswiec	GMMClassificator	[-0.1121477634942511, -3.55219269576468, 3.1617597371495885, -19.08543607009643, -8.397095574310136]	[1.2115462537563588, 1.562507757281786, 2.0608493122713316, 14.320422978201526, 3.749977921794983]	[0.7232093276259123, 0.10342305398094202, 0.11279809225026412, 0.018373716601393662, 0.03853128602129124]
zgas	GMMClassificator	[2.7530384235021605, -0.20638269999327996, 10.5977581636407, -4.922466999792685, -16.07813870352711]	[1.5232628658249467, 1.3276744991095872, 4.524498912093543, 3.5737524989715355, 23.11675721144594]	[0.13743780318964458, 0.7194305831736135, 0.005406209104967892, 0.1085132809364342, 0.029080431207740443]
