naprzod	GMMClassificator	[-0.33258442626727763, -7.625181323579416, 8.597588585745362, -0.31636855530931796, -10.636100314907852, -21.753827290260226, -17.916089740280043, -4.9379842666324105, -2.6223776892763815, 4.5031833596590864, -13.89176610748661, 1.9029347367116962]	[0.9945672026576602, 1.089235196570906, 0.8252925934841356, 0.9945082665652397, 1.2198196493248905, 0.6853657121686415, 1.1808716090242228, 1.0282995619861761, 1.002324656305561, 1.009794838260251, 1.4228213201327609, 0.9886041290996135]	[0.3405060696167576, 0.028107725824672528, 0.01100635217830636, 0.1869083392063158, 0.013809437427088836, 0.005358070480399676, 0.012339276669495983, 0.058769071167852065, 0.13148225860043186, 0.019874220101740944, 0.013112580915671539, 0.1741705697200938]
odbierz	GMMClassificator	[-0.20727154723865307, -5.194666003740409, -0.6881854502346126, -2.7176627115095835, -14.521258815216925, 1.8847825895290056, -7.750917681408329, -17.443882442517765, 4.657253236869574, -10.924759702824796, -20.838236125149063, 8.726097495553187]	[1.0016069929226141, 1.0436615949307195, 1.00361293268071, 1.0139753420248894, 1.1331350183714348, 1.0037177409616342, 1.1240053667252448, 0.7830112837733177, 1.0558089067245608, 1.279978913870287, 0.3225818363393902, 1.7616461680077324]	[0.3501804804441454, 0.061781047175072136, 0.21388560707181598, 0.11244616738206632, 0.011199409023857769, 0.1494590526809807, 0.028612492849224996, 0.007691837421867314, 0.022854173429432953, 0.012135365243205715, 0.010679373012170706, 0.013480807142099182]
odrzuc	GMMClassificator	[-12.62636884302274, 1.910138319572668, 8.546619343567766, -21.89427297411199, -8.278063736289932, -17.588849929366262, -5.460413207277224, -0.294900041900104, -2.6676964028474557, -0.32379993867477636, 4.397015521056788, -0.3133404822228838]	[2.014995595754845, 0.9972470283857006, 1.2650821191421233, 1.438530508371685, 1.2614671616375346, 1.3340340664923211, 1.0749062580096078, 1.0041929451347316, 1.0199858605440812, 1.0044455013688989, 0.9691822993770507, 1.0043578596987992]	[0.0138395468212498, 0.15163557034356243, 0.010695031027707006, 0.0079486880943927, 0.02352897676122518, 0.014357047644619305, 0.0631345327767054, 0.21595821404050397, 0.1270713014994731, 0.24698361421965542, 0.021460111041412766, 0.09889080795606284]
odslon	GMMClassificator	[8.740080659870081, 1.9655181870988474, -6.234666312730628, -1.2007999099397664, -0.08639591653051298, -3.2681423987089455, 4.480312649381452, -17.570114310979637, -24.424353278457275, -9.391418232397491, -0.09363892887957502, -13.563042299476058]	[1.8288844440807577, 0.9841031305844831, 1.1304367024774948, 1.0175786785978702, 0.9864824289716061, 1.041088437578419, 0.9795392017452207, 1.4621863830455497, 6.954962996440772, 1.3205798381979392, 0.9866796324966028, 1.4985750790212329]	[0.01236075819136138, 0.15270156124027504, 0.05099935946904828, 0.1717077469311224, 0.23247990387154363, 0.12159680759162947, 0.023876839525709837, 0.014499247699749031, 0.009772570760507875, 0.01735417484711346, 0.18155250887245147, 0.011142696317933689]
otworz	GMMClassificator	[4.369274035801038, -11.823215311631795, -5.58145581876323, -19.558552147337267, -0.19404860421247105, -0.31084582182186965, -2.6875059049632593, -15.31730643254015, -27.608875218246467, 1.8724752032675112, 8.489807752226001, -8.298518627764265]	[0.9972481525214884, 1.3881201853232965, 1.0860325479711967, 1.8683056441548616, 1.0037053272864438, 1.005434432065134, 1.0299123999405302, 1.6004276694580433, 2.478109577389194, 0.9981452265447962, 1.84699508447821, 1.1765932595057587]	[0.018390911336154423, 0.0164183558600849, 0.050620783368309566, 0.010926355038194219, 0.32903341156799465, 0.23012090151776715, 0.1258684813478966, 0.011435899407457348, 0.006509077297530402, 0.1574520487708486, 0.012339762331744627, 0.030675198892035932]
start	GMMClassificator	[-19.809078690794113, -0.17922976806016902, 8.570186924836715, -2.639723070906862, 4.045230924951596, -5.700697249963885, 1.949497036169265, -0.17925260933529585, -0.17958482495065037, -9.402673774040808, -0.17947659211018352, -14.579597852894587]	[2.5263143460470956, 0.9933953197410367, 0.16631056600364064, 1.032415545605088, 0.880070548524694, 1.2340908220338132, 0.9754021996164773, 0.9933957475858591, 0.9934025544247598, 1.7812582263685532, 0.9934003171547713, 2.553947450191037]	[0.014451946915130524, 0.20794992383625077, 0.007988845207028075, 0.11927256105908954, 0.01335219673824621, 0.054397330441935766, 0.1368616276771626, 0.14568416539277124, 0.13090219278687432, 0.02248800144570558, 0.12049126123676432, 0.019256484162356466]
stop	GMMClassificator	[-9.968161449982064, 1.9375148234069262, -6.042701280517297, -13.708670963407478, -0.25629664714059014, 1.9375038780749076, -0.2453052709721663, -3.0633400136046265, 8.589079686308237, -0.2701089729061557, 4.367626407889371, -19.43342262884419]	[1.4741909566870495, 0.985816827778449, 1.230350790496705, 1.6771993825901739, 1.0027317277724315, 0.9858169914433854, 1.0023703113283415, 1.0636458846123906, 0.634305410722296, 1.0031918024217485, 0.9501726641704781, 4.721275953442596]	[0.019730654909435895, 0.116956168946796, 0.04227298395510505, 0.016958549168730363, 0.22062283854344086, 0.07279797020836849, 0.18684692391369398, 0.10124628894540383, 0.010573793746845037, 0.1622901138023757, 0.021660678648708267, 0.023175476339472822]
wlacz	GMMClassificator	[-0.3495892969518468, -17.540524297356612, 1.9494144440435373, 1.9453838234772667, -21.646958933971355, -2.508016199209827, 4.468134403656261, -5.0626186624678216, -13.814687280674098, 8.505916362081615, -7.538067254072317, -10.612925936923956]	[0.9972093108868528, 1.119558588728249, 0.9886272326042177, 0.9887631150877535, 1.3904748896316308, 1.0142233682694017, 0.9828708226831478, 1.0447108907041223, 1.3546595769628236, 1.6341409838998526, 1.1124335424507965, 1.2119002159603363]	[0.5314041297687392, 0.011526898714078953, 0.0798405464751954, 0.08034421616216716, 0.009579958506092076, 0.13053957885607742, 0.025400733488688165, 0.06005052333754664, 0.011474943010542965, 0.01603710672388477, 0.02484120366126944, 0.014609870214529825]
wstecz	GMMClassificator	[8.589415261755223, 4.2712713865384755, -0.06483295408286413, -6.340494718610295, -0.10023667458215198, -3.638929557477817, -9.765943506902326, -17.594813828675676, -13.309396997696707, 1.9586852996077329, -22.41883965017706, -1.3985246955417385]	[0.08321008922898258, 0.9613408569305342, 0.9863102063425464, 1.146945561397178, 0.9862193846489844, 1.0554458746702273, 1.319537239717141, 1.4652955209968372, 1.3659789767755175, 0.9787546562990517, 2.143016747695154, 1.0212666871948983]	[0.007751722419800627, 0.015074838818064764, 0.26450643182145095, 0.03681410278187979, 0.25632515133264766, 0.0667615814708439, 0.018831017002431217, 0.015702683407097014, 0.01697633402608095, 0.15012085767583572, 0.0054013242544066215, 0.14067986057988094]
wylacz	GMMClassificator	[2.237871226647198, 0.06890948534192827, -27.011650796515426, -5.168543006413514, -19.385301335015964, 1.955113310172197, -2.648947727484821, -8.08934235774617, -13.254181201893257, 8.6517877618503, -0.5530515172321392, 4.731881796624803]	[1.0026365083963247, 0.9990681444975665, 2.353105441815025, 1.0694795549664347, 3.1587626826612456, 1.0002641459444417, 1.0114737425978768, 1.444386452355626, 2.610157650523839, 1.648811010198483, 1.0019720964828254, 1.0715247015007971]	[0.026636759252602425, 0.18624560058411552, 0.005867232146410156, 0.06264293861351855, 0.01660551273078589, 0.1161330216638177, 0.13745803619539934, 0.032004755982804674, 0.017713659942536673, 0.015199021314452762, 0.36294929940928405, 0.02053794787025443]
